=== FULL RUN PLAN (Day 8, 2026-08-16) ===
benchmarks : ['tr_mmlu', 'tumlu_tr', 'halluverse_tr', 'ragturk_formal5k']
models     : ['gpt-5.6-luna', 'mimo-v2.5', 'deepseek-v4-flash']
probes     : ['M1', 'M2a', 'M2b_A', 'M2b_B', 'M2b_C'] (+2 translation calls per item, lazy; +1 gold_TR->EN per RAGTurk item)
n per benchmark sample (seed 42) : {'tr_mmlu': 200, 'tumlu_tr': 200, 'halluverse_tr': 200, 'ragturk_formal5k': 200}
planned answer calls: 11400 | translations: 1600 | RAGTurk gold->EN: 200 | TOTAL ~13200
estimated cost (documented rates only; mimo excluded, tokens counted): $0.7910  [cap $2.00]
fix 2 retry-hard: gpt-5.6-luna x ragturk_formal5k (surface>2000 chars or item-recurrence), max 4 retries
fix 3 matcher: qa_matcher.py strict (precision 1.000 / recall 0.371 on labeled set); arm-C scored vs EN-translated gold
fix 4 spend checkpoints: every 500 calls -> spend_full_2026-08-16.jsonl
resume: 979 calls already logged -> skipping, 10674 to run (translation cache re-seeded: 127 items, gold-EN cache: 0; prior events in log: 3)
[EXC] tr_mmlu|gpt-5.6-luna|M2b_B|126: KeyError: 'backtr_tr'
[tr_mmlu/gpt-5.6-luna/M2b_B 127] ok retries=0 tok=210 cost≈3.8e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 128] ok retries=0 tok=113 cost≈1.38e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 130] ok retries=0 tok=156 cost≈1.81e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 129] ok retries=0 tok=136 cost≈1.61e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 131] ok retries=0 tok=162 cost≈1.87e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 132] ok retries=0 tok=252 cost≈7.02e-05
[spend-chk] calls=1000 cost≈$0.0010
[tr_mmlu/gpt-5.6-luna/M2b_B 133] ok retries=0 tok=113 cost≈1.38e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 134] ok retries=0 tok=105 cost≈1.3e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 135] ok retries=0 tok=235 cost≈9.3e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 136] ok retries=0 tok=113 cost≈1.38e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 137] ok retries=0 tok=159 cost≈1.84e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 138] ok retries=0 tok=150 cost≈1.75e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 139] ok retries=0 tok=134 cost≈1.59e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 140] ok retries=0 tok=221 cost≈7.91e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 141] ok retries=0 tok=131 cost≈3.26e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 142] ok retries=0 tok=123 cost≈1.48e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 143] ok retries=0 tok=161 cost≈4.46e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 144] ok retries=0 tok=181 cost≈2.06e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 145] ok retries=0 tok=135 cost≈1.6e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 146] ok retries=0 tok=88 cost≈2.78e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 147] ok retries=0 tok=145 cost≈1.7e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 148] ok retries=0 tok=170 cost≈5.4e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 149] ok retries=0 tok=195 cost≈6.5e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 150] ok retries=0 tok=135 cost≈1.6e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 151] ok retries=0 tok=123 cost≈1.48e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 152] ok retries=0 tok=470 cost≈0.000225
[tr_mmlu/gpt-5.6-luna/M2b_B 153] ok retries=0 tok=168 cost≈1.93e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 154] ok retries=0 tok=160 cost≈5.4e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 155] ok retries=0 tok=116 cost≈1.41e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 156] ok retries=0 tok=152 cost≈1.77e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 157] ok retries=0 tok=182 cost≈6.17e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 158] ok retries=0 tok=113 cost≈1.38e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 159] ok retries=0 tok=196 cost≈5.01e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 160] ok retries=0 tok=150 cost≈1.75e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 161] ok retries=0 tok=216 cost≈8.16e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 162] ok retries=0 tok=133 cost≈1.58e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 163] ok retries=0 tok=161 cost≈1.86e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 164] ok retries=0 tok=169 cost≈4.79e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 165] ok retries=0 tok=116 cost≈1.41e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 166] ok retries=0 tok=214 cost≈6.04e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 167] ok retries=0 tok=630 cost≈0.0003245
[tr_mmlu/gpt-5.6-luna/M2b_B 168] ok retries=0 tok=228 cost≈4.08e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 169] ok retries=0 tok=103 cost≈1.28e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 170] ok retries=0 tok=122 cost≈1.47e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 171] ok retries=0 tok=177 cost≈4.72e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 172] ok retries=0 tok=366 cost≈0.0001646
[tr_mmlu/gpt-5.6-luna/M2b_B 173] ok retries=0 tok=351 cost≈0.0001266
[tr_mmlu/gpt-5.6-luna/M2b_B 174] ok retries=0 tok=187 cost≈5.52e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 175] ok retries=0 tok=134 cost≈2.84e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 176] ok retries=0 tok=101 cost≈1.26e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 177] ok retries=0 tok=162 cost≈4.97e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 178] ok retries=0 tok=158 cost≈4.03e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 179] ok retries=0 tok=132 cost≈1.57e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 180] ok retries=0 tok=119 cost≈1.44e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 181] ok retries=0 tok=117 cost≈1.42e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 182] ok retries=0 tok=234 cost≈9.64e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 183] ok retries=0 tok=126 cost≈1.51e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 184] ok retries=0 tok=170 cost≈1.95e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 185] ok retries=0 tok=185 cost≈4e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 186] ok retries=0 tok=142 cost≈4.22e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 187] ok retries=0 tok=181 cost≈2.06e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 188] ok retries=0 tok=160 cost≈5.2e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 189] ok retries=0 tok=273 cost≈8.28e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 190] ok retries=0 tok=128 cost≈1.53e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 191] ok retries=0 tok=139 cost≈1.64e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 192] ok retries=0 tok=172 cost≈4.57e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 193] ok retries=0 tok=56 cost≈8.1e-06
[tr_mmlu/gpt-5.6-luna/M2b_B 194] ok retries=0 tok=224 cost≈2.49e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 195] ok retries=0 tok=155 cost≈4.9e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 196] ok retries=0 tok=116 cost≈1.41e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 197] ok retries=0 tok=130 cost≈1.55e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 198] ok retries=0 tok=174 cost≈4.29e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 0] ok retries=0 tok=102 cost≈1.27e-05
[tr_mmlu/gpt-5.6-luna/M2b_B 199] ok retries=0 tok=196 cost≈6.96e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 1] ok retries=0 tok=199 cost≈5.64e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 3] ok retries=0 tok=173 cost≈5.23e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 5] ok retries=0 tok=145 cost≈3.75e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 6] ok retries=0 tok=115 cost≈1.4e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 4] ok retries=0 tok=114 cost≈1.39e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 2] ok retries=0 tok=583 cost≈0.0003028
[tr_mmlu/gpt-5.6-luna/M2b_C 8] ok retries=0 tok=148 cost≈2.78e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 9] ok retries=0 tok=142 cost≈3.12e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 7] ok retries=0 tok=262 cost≈9.22e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 10] ok retries=0 tok=148 cost≈1.73e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 12] ok retries=0 tok=163 cost≈4.43e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 13] ok retries=0 tok=91 cost≈1.16e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 11] ok retries=0 tok=235 cost≈9e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 14] ok retries=0 tok=133 cost≈3.48e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 15] ok retries=0 tok=206 cost≈4.51e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 17] ok retries=0 tok=183 cost≈5.73e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 16] ok retries=0 tok=332 cost≈0.0001232
[tr_mmlu/gpt-5.6-luna/M2b_C 18] ok retries=0 tok=142 cost≈3.57e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 20] ok retries=0 tok=121 cost≈3.21e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 22] ok retries=0 tok=134 cost≈1.59e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 21] ok retries=0 tok=122 cost≈2.57e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 23] ok retries=0 tok=97 cost≈1.22e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 25] ok retries=0 tok=125 cost≈1.5e-05
